电影名称,评分,类型,制片国家/地区,时间,票房
毒液：致命守护者 Venom,7.2,动作 / 科幻 / 惊悚,美国/中国大陆,2018年11月9日,18.6901亿
侏罗纪世界2 Jurassic World: Fallen Kingdom,6.6,动作 / 科幻 / 冒险,美国,2018年6月15日,16.9547亿
头号玩家 Ready Player One,8.7,动作 / 科幻 / 冒险,美国,2018年3月30日,13.9428亿
后来的我们,5.9,剧情 / 爱情,中国大陆,2018年4月28日,13.6071亿
一出好戏,7.1,剧情 / 喜剧,中国大陆,2018年8月10日,13.5082亿
无双 無雙,8.0,剧情 / 动作 / 犯罪 / 悬疑,中国大陆/中国香港,2018年9月30日,12.7171亿
碟中谍6：全面瓦解 Mission: Impossible - Fallout,8.1,动作 / 惊悚 / 冒险,美国/中国大陆/法国/挪威/英国,2018年8月31日,12.4202亿
巨齿鲨 The Meg,5.7,动作 / 科幻 / 惊悚,美国/中国大陆/中国香港,2018年8月10日,10.4755亿
狂暴巨兽 Rampage,6.3,动作 / 科幻 / 冒险,美国,2018年4月13日,10.0324亿
超时空同居,6.8,喜剧 / 爱情 / 奇幻,中国大陆,2018年5月18日,8.9955亿
蚁人2：黄蜂女现身 Ant-Man and the Wasp,7.3,动作 / 科幻 / 冒险,美国,2018年8月24日,8.2926亿
无名之辈,8.0,剧情 / 喜剧,中国大陆,2018年11月16日,7.9395亿
无问西东,7.5,剧情 / 爱情 / 战争,中国大陆,2018年1月12日,7.5373亿
神秘巨星 Secret Superstar,7.7,剧情 / 音乐,印度,2018年1月19日,7.4658亿
西游记女儿国,4.4,喜剧 / 爱情 / 奇幻,中国大陆/中国香港,2018年2月16日,7.2743亿
摩天营救 Skyscraper,6.3,动作 / 惊悚 / 冒险,中国香港/美国,2018年7月20日,6.694亿
黑豹 Black Panther,6.5,动作 / 科幻 / 冒险,美国/南非,2018年3月9日,6.6227亿
环太平洋：雷霆再起 Pacific Rim: Uprising,5.4,动作 / 科幻 / 冒险,英国/中国大陆/日本/美国/墨西哥,2018年3月23日,6.3083亿
来电狂响,5.7,剧情 / 喜剧,中国大陆,2018年12月28日,6.2946亿
影,7.2,剧情 / 动作 / 武侠 / 古装,中国大陆/中国香港,2018年9月30日,6.281亿
狄仁杰之四大天王,6.1,动作 / 悬疑 / 奇幻 / 武侠 / 古装,中国大陆/中国香港,2018年7月27日,6.0629亿
李茶的姑妈,4.6,喜剧,中国大陆,2018年9月30日,6.0343亿
邪不压正,7.0,剧情 / 喜剧 / 动作,中国大陆,2018年8月12日,5.8347亿
爱情公寓,3.2,喜剧 / 冒险,中国大陆,2018年8月10日,5.542亿
动物世界,7.2,剧情 / 动作 / 冒险,中国大陆,2018年6月29日,5.0891亿
古墓丽影：源起之战 Tomb Raider,6.0,动作 / 冒险,美国,2018年3月16日,4.9676亿
勇敢者游戏：决战丛林 Jumanji: Welcome to the Jungle,6.8,喜剧 / 动作 / 奇幻 / 冒险,美国/印度/加拿大/英国/澳大利亚/德国,2018年1月12日,4.9163亿
厉害了，我的国,5.7,剧情 / 动作 / 犯罪,中国香港,2018年9月14日,4.4075亿
蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse,8.6,动作 / 科幻 / 动画 / 冒险,美国,2018年12月21日,4.2086亿
神奇动物：格林德沃之罪 Fantastic Beasts: The Crimes of Grindelwald,7.0,奇幻 / 冒险,美国/英国,2018年11月16日,3.9889亿
快把我哥带走,6.8,喜剧 / 奇幻,中国大陆,2018年8月17日,3.7334亿
幕后玩家,5.6,剧情 / 犯罪 / 悬疑,中国大陆,2018年4月28日,3.5841亿
悲伤逆流成河,5.8,剧情 / 爱情,中国大陆,2018年9月21日,3.546亿
超人总动员2 Incredibles 2,7.8,喜剧 / 动作 / 动画 / 冒险,美国,2018年6月22日,3.5377亿
黄金兄弟,5.0,动作 / 犯罪,中国大陆,2018年9月21日,3.152亿
移动迷宫3：死亡解药 Maze Runner: The Death Cure,5.3,动作 / 科幻 / 冒险,美国,2018年1月26日,3.151亿
小萝莉的猴神大叔 Bajrangi Bhaijaan,8.4,剧情 / 喜剧 / 动作,印度,2018年3月2日,2.8543亿
找到你,7.3,剧情 / 家庭,中国大陆,2018年10月5日,2.8445亿
地球最后的夜晚,6.9,剧情 / 爱情 / 悬疑,中国大陆/法国,2018年12月31日,2.8104亿
无敌破坏王2：大闹互联网 Ralph Breaks the Internet,8.0,喜剧 / 动画 / 奇幻 / 冒险,美国,2018年11月23日,2.7069亿
星球大战8：最后的绝地武士 Star Wars: The Last Jedi,7.1,动作 / 科幻 / 冒险,美国,2018年1月5日,2.671亿
胖子行动队,4.2,喜剧 / 动作,中国大陆,2018年9月30日,2.6025亿
南极之恋,6.6,爱情 / 冒险,中国大陆,2018年2月1日,2.34亿
精灵旅社3：疯狂假期 Hotel Transylvania 3: Summer Vacation,6.6,喜剧 / 动画 / 奇幻,美国/韩国,2018年8月17日,2.207亿
寂静之地 A Quiet Place,6.3,惊悚 / 恐怖,美国,2018年5月18日,2.2002亿
铁血战士 The Predator,4.9,动作 / 科幻 / 惊悚 / 冒险,美国/加拿大,2018年10月26日,2.1602亿
起跑线 Hindi Medium,7.9,剧情 / 喜剧,印度,2018年4月4日,2.0983亿
哆啦A梦：大雄的金银岛 ドラえもん のび太の宝島,6.4,动画 / 奇幻 / 冒险,日本,2018年6月1日,2.0923亿
猛虫过江,3.7,喜剧 / 动作,中国大陆,2018年6月15日,2.0273亿
奇迹男孩 Wonder,8.6,剧情 / 儿童 / 家庭,美国/中国香港,2018年1月19日,1.9107亿
公牛历险记 Ferdinand,7.2,喜剧 / 动画 / 冒险,美国,2018年1月19日,1.7184亿
龙猫 となりのトトロ,9.2,动画 / 奇幻 / 冒险,日本,2018年12月14日,1.7072亿
祖宗十九代,4.2,喜剧 / 奇幻,中国大陆,2018年2月16日,1.6924亿
比得兔 Peter Rabbit,7.0,喜剧 / 动画 / 冒险,美国/英国/澳大利亚,2018年3月2日,1.6824亿
新大头儿子和小头爸爸3：俄罗斯奇遇记,4.8,儿童 / 动画 / 冒险 / 家庭,中国大陆,2018年7月6日,1.5121亿
嗝嗝老师 Hichki,7.4,剧情 / 喜剧,印度,2018年10月12日,1.487亿
云南虫谷,3.2,动作 / 奇幻 / 冒险,中国大陆,2018年12月29日,1.4672亿
大师兄 大師兄,5.1,喜剧 / 动作,中国大陆/中国香港,2018年8月24日,1.4474亿
新乌龙院之笑闹江湖,3.5,剧情 / 喜剧 / 动作,中国大陆,2018年8月17日,1.2967亿
叶问外传：张天志 葉問外傳：張天志,5.5,剧情 / 动作 / 犯罪,中国大陆/中国香港,2018年12月21日,1.2822亿
名侦探柯南：零的执行人 名探偵コナン ゼロの執行人,5.7,动画 / 悬疑,日本,2018年11月9日,1.2708亿
天气预爆,3.8,喜剧 / 奇幻,中国大陆,2018年12月21日,1.227亿
阿尔法：狼伴归途 Alpha,6.4,剧情 / 冒险,美国/加拿大/中国大陆,2018年9月7日,1.1383亿
胡桃夹子和四个王国 The Nutcracker And The Four Realms,5.9,奇幻 / 冒险,美国,2018年11月2日,1.1233亿
风语咒,6.8,动画 / 奇幻,中国大陆,2018年8月3日,1.1189亿
21克拉,4.5,喜剧 / 爱情,中国大陆,2018年4月20日,1.0983亿
游侠索罗：星球大战外传 Solo: A Star Wars Story,6.8,动作 / 科幻 / 冒险,美国,2018年5月25日,1.0621亿
水形物语 The Shape of Water,7.2,剧情 / 爱情 / 奇幻,美国/加拿大/墨西哥,2018年3月16日,1.0517亿
神秘世界历险记4,5.3,动画,中国大陆,2018年8月3日,1.0427亿
马戏之王 The Greatest Showman,7.7,剧情 / 传记 / 歌舞,美国,2018年2月1日,1.0099亿
幸福马上来,3.7,喜剧,中国大陆,2018年6月8日,9841万
小偷家族 万引き家族,8.7,剧情 / 犯罪 / 家庭,日本,2018年8月3日,9622万
飓风奇劫 The Hurricane Heist,5.8,动作 / 犯罪 / 惊悚,英国/美国,2018年11月2日,9492万
厕所英雄 Toilet - Ek Prem Katha,7.1,剧情 / 喜剧,印度,2018年6月8日,9446万
金蝉脱壳2：冥府 Escape Plan 2: Hades,3.2,动作 / 惊悚,美国/中国大陆,2018年6月29日,8885万
浴血广昌,4.4,历史 / 战争,中国大陆,2018年8月1日,8669万
昨日青空,6.1,爱情 / 动画,中国大陆,2018年10月26日,8322万
你好，之华,6.7,剧情 / 爱情,中国大陆,2018年11月9日,7984万
武林怪兽,3.5,喜剧 / 奇幻 / 武侠,中国大陆/中国香港,2018年12月21日,7858万
巴霍巴利王2：终结 Baahubali 2: The Conclusion,7.0,剧情 / 动作 / 奇幻,印度,2018年5月4日,7675万
阿凡提之奇缘历险,4.7,喜剧 / 动画,中国大陆,2018年10月1日,7599万
雪怪大冒险 Smallfoot,7.3,喜剧 / 动画 / 冒险 / 歌舞,美国,2018年10月19日,7476万
冰雪女王3：火与冰 Снежная королева 3: Огонь и лед,4.5,动画 / 冒险 / 家庭,俄罗斯/中国大陆,2018年4月5日,7415万
潜艇总动员：海底两万里,4.0,动画 / 奇幻 / 冒险,中国大陆,2018年6月1日,7239万
泄密者 洩密者們,5.3,剧情 / 犯罪,中国香港,2018年6月15日,7058万
龙虾刑警,4.8,喜剧 / 动作 / 犯罪,中国大陆,2018年6月22日,6850万
印度合伙人 Padman,7.7,剧情 / 喜剧 / 传记,印度,2018年12月14日,6680万
湮灭 Annihilation,7.2,剧情 / 科幻 / 惊悚,美国/英国,2018年4月13日,6582万
"三块广告牌 Three Billboards Outside Ebbing, Missouri",8.7,剧情 / 犯罪,英国/美国,2018年3月2日,6433万
闺蜜2,2.7,喜剧 / 爱情,中国香港/中国大陆,2018年3月2日,6412万
英雄本色2018,4.5,剧情 / 动作,中国大陆/中国香港,2018年1月18日,6187万
我的间谍前男友 The Spy Who Dumped Me,6.1,喜剧 / 动作,美国/加拿大,2018年10月19日,6131万
忌日快乐 Happy Death Day,7.0,悬疑 / 惊悚 / 恐怖,美国,2018年2月2日,6083万
印度暴徒 Thugs of Hindostan,5.9,喜剧 / 动作 / 冒险,印度,2018年12月28日,5884万
新灰姑娘 Cinderella 3D,4.4,动画 / 奇幻 / 冒险,美国/中国大陆,2018年10月1日,5810万
神奇马戏团之动物饼干 Magical Circus: Animal Crackers,5.7,喜剧 / 动画 / 奇幻 / 冒险,美国/西班牙/中国大陆/韩国/中国香港,2018年7月21日,5703万
暴裂无声,8.2,剧情 / 犯罪 / 悬疑,中国大陆,2018年4月4日,5398万
完美陌生人 Perfetti sconosciuti,8.5,剧情 / 喜剧,意大利,2018年5月25日,5341万
流浪猫鲍勃 A Street Cat Named Bob,7.9,剧情 / 喜剧 / 传记,英国,2018年11月2日,5284万
深海越狱 Black Water,4.2,动作 / 冒险,美国,2018年6月8日,5108万
遇见你真好,4.5,剧情 / 喜剧 / 爱情,中国大陆,2018年3月29日,5083万
狗十三,8.2,剧情 / 家庭,中国大陆,2018年12月7日,5071万
断片之险途夺宝,2.9,喜剧 / 冒险,中国大陆,2018年12月29日,4987万
谜巢,3.4,动作 / 冒险,中国大陆/澳大利亚,2018年1月19日,4856万
镰仓物语 DESTINY 鎌倉ものがたり,6.9,剧情 / 奇幻,日本,2018年9月14日,4815万
小马宝莉大电影 My Little Pony: The Movie,6.7,喜剧 / 动画 / 冒险 / 歌舞,美国/加拿大,2018年2月2日,4667万
爸，我一定行的,6.3,剧情 / 喜剧 / 家庭,中国大陆,2018年8月24日,4604万
通勤营救 The Commuter,6.5,动作 / 犯罪 / 惊悚,美国/英国,2018年3月30日,4509万
犬之岛 Isle of Dogs,8.2,喜剧 / 动画 / 冒险,德国/日本/美国/英国,2018年4月20日,4331万
卧底巨星,3.5,喜剧 / 动作,中国大陆/中国香港,2018年1月12日,3889万
战神纪,3.4,奇幻 / 冒险,中国大陆,2018年4月28日,3780万
大闹西游,4.9,喜剧 / 动画 / 冒险,中国大陆,2018年9月22日,3723万
我是你妈,4.8,剧情 / 喜剧,中国大陆,2018年5月11日,3663万
苏丹 Sultan,6.7,剧情 / 运动,印度,2018年8月31日,3569万
妈妈咪鸭,7.0,喜剧 / 动画 / 冒险 / 家庭,中国大陆/美国,2018年3月9日,3554万
脱单告急,5.4,喜剧 / 爱情,中国大陆,2018年4月20日,3463万
冰封侠：时空行者,2.8,动作 / 奇幻,中国大陆/中国香港,2018年11月2日,3413万
低压槽：欲望之城 低壓槽,4.3,剧情 / 动作 / 犯罪 / 悬疑,中国大陆/中国香港,2018年4月28日,3293万
的士速递5 Taxi 5,5.4,喜剧 / 动作 / 犯罪,法国,2018年8月3日,3065万
奇葩朵朵,4.2,喜剧 / 爱情,中国大陆,2018年4月4日,3001万
浪矢解忧杂货店 ナミヤ雑貨店の奇蹟,7.1,剧情 / 奇幻,日本,2018年2月2日,2864万
恐龙王,5.9,喜剧 / 动画 / 冒险,中国大陆,2018年11月10日,2833万
网络谜踪 Searching,8.5,剧情 / 犯罪 / 悬疑 / 惊悚,美国/俄罗斯,2018年12月14日,2819万
传奇的诞生 Pelé: Birth of a Legend,7.7,剧情 / 传记 / 运动,美国,2018年9月7日,2666万
第七个小矮人 The 7th Dwarf,6.3,喜剧 / 动画 / 冒险,德国,2018年6月16日,2525万
宝贝儿,5.3,剧情,中国大陆,2018年10月19日,2449万
虎胆追凶 Death Wish,6.5,动作 / 犯罪 / 惊悚,美国,2018年9月21日,2199万
猫与桃花源,6.0,动画 / 冒险 / 家庭,中国大陆,2018年4月5日,2089万
魔镜奇缘2,6.6,剧情 / 传记 / 历史,法国/比利时/德国,2018年5月5日,2046万
玛丽与魔女之花 メアリと魔女の花,6.2,动画 / 奇幻 / 冒险,日本,"2018年4月28日，截至5月20日累计票房2011万元。
      </blockquote>
    </div>

    <div class=""actions"">
      <time class=""time"">2018-05-23 12:27:58</time>
        <a href=""javascript: void 0;"" class=""btn btn-like j a_show_login"" data-action-type=""like"">赞</a>

      <a href=""javascript: void 0;"" class=""btn btn-action-reply"" data-action-type=""showComments"" data-count=""0"">回复</a>

    </div>

    <div class=""others"">
      <div class=""comments"">
        <div class=""comments-items""></div>
        <a href=""javascript:void(0);"" class=""btn"" data-action-type=""showComments"" style=""display: none;"">加载更多</a>
          <span class=""pl"" align=""right""><a class=""j a_show_login"" href=""https://www.douban.com/accounts/register?reason=comment"">&gt; 我来回复</a></span>
      </div>
    </div>
  </div>

  

  

    </div>
  </div>

          
  <div id=""item763413334"" class=""doulist-item"" >
    <div class=""mod"">
      
  <div class=""hd"">
      <span class=""pos"">147</span>
  </div>

      
  
  

  <div class=""bd doulist-subject"">
      
        <div class=""doulist-video-items"">
          <span class=""title"">播放全片</span>
            
            <a class=""doulist-video-item"" target=""_blank"" href=""http://www.iqiyi.com/v_19rqtgy690.html?vfm=m_331_dbdy&amp;fv=4904d94982104144a1548dd9040df241""><span class=""icon-circle""><img src=""https://img1.doubanio.com/f/movie/7c9e516e02c6fe445b6559c0dd2a705e8b17d1c9/pics/movie/video-iqiyi.png"" /></span> 爱奇艺视频</a>

            
            <a class=""doulist-video-item"" target=""_blank"" href=""http://vip.1905.com/play/1358428.shtml?__hz=6e0721b2c6977135&amp;api_source=douban_vodadd""><span class=""icon-circle""><img src=""https://img1.doubanio.com/f/movie/8476600ca686384b5f314dca063ffb33f993f579/pics/movie/video-cctv6.png"" /></span> 1905电影网</a>

        </div>

    




    <div class=""source"">
      来自：豆瓣电影
    </div>
    
    <div class=""post"">
      <a href=""https://movie.douban.com/subject/30402752/"" target=""_blank"">
        <img src=""https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2543162197.jpg""/>
      </a>
    </div>
    <div class=""title"">
      <a href=""https://movie.douban.com/subject/30402752/"" target=""_blank"">
          <img style=""width: 16px; vertical-align: text-top;"" src=""https://img1.doubanio.com/f/sns/5741f726dfb46d89eb500ed038833582c9c9dcdb/pics/sns/doulist/ic_play_web@2x.png""/>
        大路朝天
      </a>
    </div>
    
      <div class=""rating"">
          <span class=""allstar30""></span>
          <span class=""rating_nums"">5.7</span>
          <span>(931人评价)</span>
      </div>
    <div class=""abstract"">
      
          导演: 苗月
            <br />
          主演: 李保田 / 陈瑾 / 巴登西绕
            <br />
          类型: 剧情
            <br />
          制片国家/地区: 中国大陆
            <br />
          年份: 2018
    </div>
  </div>
  


        
  
  <div class=""ft"">
    <div class=""comment-item content"" data-cid=""763413334"">
      <blockquote class=""comment"">
        <span>评语：</span>【国产】2018年12月22日",1908万
滴答屋 The House with a Clock in its Walls,5.4,喜剧 / 奇幻 / 惊悚 / 冒险,美国/印度/加拿大,2018年11月1日,1892万
功夫联盟,3.3,剧情 / 动作,中国大陆,2018年10月26日,1763万
哪吒之魔童降世,8.4,剧情 / 喜剧 / 动画 / 奇幻,中国大陆,2019年7月26日,49.7267亿
流浪地球,7.9,科幻 / 冒险 / 灾难,中国大陆,2019年2月5日,46.4391亿
复仇者联盟4：终局之战 Avengers: Endgame,8.5,剧情 / 动作 / 科幻 / 奇幻 / 冒险,美国,2019年4月24日,42.4111亿
我和我的祖国,7.6,剧情,中国大陆,2019年9月30日,31.7131亿
中国机长,6.6,剧情 / 传记 / 灾难,中国大陆,2019年9月30日,28.6906亿
疯狂的外星人,6.4,喜剧 / 科幻,中国大陆,2019年2月5日,22.0202亿
飞驰人生,6.9,喜剧,中国大陆,2019年2月5日,17.1356亿
烈火英雄,6.4,剧情 / 灾难,中国大陆,2019年8月1日,16.9099亿
少年的你,8.2,剧情 / 爱情 / 犯罪,中国大陆/中国香港,2019年10月25日,15.449亿
速度与激情：特别行动 Fast &amp; Furious Presents: Hobbs &amp; Shaw,6.3,喜剧 / 动作 / 冒险,美国/日本,2019年8月23日,14.3003亿
蜘蛛侠：英雄远征 Spider-Man: Far from Home,7.6,动作 / 科幻 / 冒险,美国,2019年6月28日,14.1097亿
扫毒2天地对决 掃毒2：天地對決,6.0,剧情 / 动作 / 犯罪 / 悬疑,中国大陆/中国香港,2019年7月5日,12.9550亿
误杀,7.5,剧情 / 犯罪 / 悬疑,中国大陆,2019年12月13日,12.0853亿
叶问4：完结篇 葉問4：完結篇,6.8,剧情 / 动作,中国大陆/中国香港,2019年12月20日,11.8423亿
大黄蜂 Bumblebee,7.0,动作 / 科幻 / 冒险,美国/中国大陆,2019年1月4日,11.417亿
攀登者,6.0,剧情 / 爱情 / 冒险,中国大陆,2019年9月30日,10.8247亿
惊奇队长 Captain Marvel,6.8,动作 / 科幻 / 冒险,美国/澳大利亚,2019年3月8日,10.3326亿
比悲伤更悲伤的故事 比悲傷更悲傷的故事,4.8,爱情,中国台湾,2019年3月14日,9.5351亿
哥斯拉2：怪兽之王 Godzilla: King of the Monsters,6.2,动作 / 科幻 / 冒险 / 灾难,美国/日本/中国大陆/加拿大,2019年5月31日,9.3458亿
阿丽塔：战斗天使 Alita: Battle Angel,7.5,动作 / 科幻 / 冒险,美国/日本/加拿大,2019年2月22日,8.8402亿
银河补习班,6.2,剧情,中国大陆,2019年7月18日,8.7178亿
冰雪奇缘2 Frozen II,7.0,喜剧 / 动画 / 冒险 / 歌舞,美国,2019年11月22日,8.6099亿
狮子王 The Lion King,7.2,剧情 / 动画 / 冒险,美国,2019年7月12日,8.2948亿
反贪风暴4 P風暴,5.9,动作 / 犯罪,中国香港/中国大陆,2019年4月4日,7.9424亿
熊出没·原始时代,6.6,喜剧 / 动画 / 冒险,中国大陆,2019年2月5日,7.1123亿
使徒行者2：谍影行动,6.2,剧情 / 动作 / 犯罪,中国大陆/中国香港,2019年8月7日,6.9741亿
宠爱,5.9,剧情 / 喜剧 / 爱情,中国大陆,2019年12月31日,6.8428亿
大侦探皮卡丘 Pokémon Detective Pikachu,6.4,喜剧 / 动画 / 奇幻 / 冒险,美国/日本/英国/加拿大,2019年5月10日,6.3925亿
新喜剧之王,5.7,剧情 / 喜剧,中国大陆/中国香港,2019年2月5日,6.2298亿
绿皮书 Green Book,8.9,剧情 / 喜剧 / 传记 / 音乐,美国/中国大陆,2019年3月1日,4.7712亿
白蛇：缘起,7.8,爱情 / 动画 / 奇幻,中国大陆/美国,2019年1月11日,4.4344亿
最好的我们,5.1,剧情 / 爱情,中国大陆,2019年6月6日,4.1242亿
X战警：黑凤凰 Dark Phoenix,5.7,动作 / 科幻 / 冒险,美国/加拿大,2019年6月6日,4.0839亿
诛仙1 诛仙 Ⅰ,4.5,爱情 / 奇幻 / 古装,中国大陆,2019年9月13日,4.0233亿
“大”人物,6.4,动作 / 犯罪,中国大陆,2019年1月10日,3.775亿
何以为家 كفرناحوم,9.1,剧情,黎巴嫩/美国/法国/塞浦路斯/卡塔尔/英国,2019年4月29日,3.7114亿
阿拉丁 Aladdin,7.4,爱情 / 奇幻 / 冒险 / 歌舞,美国,2019年5月24日,3.6748亿
驯龙高手3 How to Train Your Dragon: The Hidden World,7.4,动画 / 奇幻 / 冒险,美国,2019年3月1日,3.6188亿
终结者：黑暗命运 Terminator: Dark Fate,6.8,动作 / 科幻 / 冒险,美国/西班牙/匈牙利,2019年11月1日,3.5373亿
老师·好,6.6,剧情,中国大陆,2019年3月22日,3.5308亿
沉睡魔咒2 Maleficent: Mistress of Evil,5.9,奇幻 / 冒险,美国/英国,2019年10月18日,3.453亿
调音师 Andhadhun,8.2,喜剧 / 犯罪 / 悬疑 / 惊悚,印度,2019年4月3日,3.2443亿
罗小黑战记,8.0,动作 / 动画 / 奇幻,中国大陆,2019年9月7日,3.1195亿
黑衣人：全球追缉 Men in Black International,5.5,喜剧 / 动作 / 科幻,美国,2019年6月14日,3.0695亿
追龙Ⅱ 追龍2：賊王,5.4,剧情 / 动作 / 犯罪,中国香港/中国大陆,2019年6月6日,3.0484亿
决战中途岛 Midway,7.5,剧情 / 历史 / 战争,中国大陆/中国香港/加拿大/美国,2019年11月8日,2.9152亿
勇敢者游戏2：再战巅峰 Jumanji: The Next Level,5.9,喜剧 / 动作 / 奇幻 / 冒险,美国,2019年12月6日,2.8818亿
死侍2：我爱我家 Deadpool 2,7.3,喜剧 / 动作 / 科幻 / 冒险,美国,2019年1月25日,2.8013亿
小小的愿望,5.0,剧情 / 喜剧,中国大陆,2019年9月12日,2.6683亿
犯罪现场 犯罪現場,6.2,犯罪 / 悬疑 / 惊悚,中国香港,2019年10月12日,2.534亿
我为你牺牲,5.7,剧情 / 动作,中国大陆,2019年12月5日,2.4798亿
双子杀手 Gemini Man,6.8,剧情 / 动作 / 科幻,美国/中国大陆,2019年10月18日,2.3393亿
名侦探柯南：绀青之拳 名探偵コナン 紺青の拳,5.8,动画 / 悬疑,日本,2019年9月13日,2.3127亿
密室逃生 Escape Room,7.1,悬疑 / 惊悚,美国/南非,2019年1月18日,2.27亿
大约在冬季,5.0,剧情 / 爱情,中国大陆,2019年11月15日,2.2411亿
受益人,6.5,剧情 / 喜剧 / 爱情,中国大陆,2019年11月8日,2.166亿
航海王：狂热行动 ONE PIECE STAMPEDE,7.5,动画 / 冒险,日本,2019年10月18日,2.0402亿
南方车站的聚会,7.4,剧情 / 犯罪,中国大陆/法国,2019年12月6日,2.0168亿
玩具总动员4 Toy Story 4,8.5,喜剧 / 动画 / 奇幻,美国,2019年6月21日,2.0005亿
利刃出鞘 Knives Out,8.1,剧情 / 喜剧 / 犯罪 / 悬疑,美国,2019年11月29日,1.9892亿
一条狗的使命2 A Dog&#39;s Journey,6.9,剧情 / 喜剧 / 家庭,中国大陆/印度/中国香港/美国,2019年5月17日,1.9537亿
半个喜剧,7.3,喜剧 / 爱情,中国大陆,2019年12月20日,1.8844亿
沉默的证人,5.3,动作 / 犯罪,中国大陆/中国香港,2019年8月16日,1.7913亿
一吻定情,4.4,喜剧 / 爱情,中国台湾/中国大陆,2019年2月14日,1.7223亿
天·火,4.2,动作 / 冒险 / 灾难,中国大陆,2019年12月12日,1.6982亿
只有芸知道,6.3,剧情 / 爱情,中国大陆,2019年12月20日,1.5859亿
爱宠大机密2 The Secret Life of Pets 2,6.8,喜剧 / 动画 / 冒险,美国,2019年7月5日,1.5332亿
神探蒲松龄,3.8,喜剧 / 动作 / 奇幻 / 古装,中国大陆,2019年2月5日,1.5174亿
小飞象 Dumbo,6.5,奇幻 / 冒险,美国/英国/澳大利亚/加拿大,2019年3月29日,1.4739亿
星球大战9：天行者崛起 Star Wars: The Rise of Skywalker,6.2,动作 / 科幻 / 冒险,美国,2019年12月20日,1.4379亿
海上钢琴师 La leggenda del pianista sull&#39;oceano,9.3,剧情 / 音乐,意大利,2019年11月15日,1.4268亿
愤怒的小鸟2 The Angry Birds Movie 2,6.9,喜剧 / 动画 / 冒险,芬兰/美国,2019年8月16日,1.4013亿
哆啦A梦：大雄的月球探险记 映画ドラえもん のび太の月面探査記,7.2,剧情 / 动画,日本,2019年6月1日,1.3037亿
小猪佩奇过大年,3.8,儿童 / 动画 / 歌舞 / 家庭,中国大陆/英国,2019年2月5日,1.2224亿
上海堡垒,2.9,爱情 / 战争 / 科幻,中国大陆,2019年8月9日,1.2180亿
下一任：前任,2.8,爱情,中国台湾/中国大陆,2019年5月1日,1.2002亿
决胜时刻,6.4,剧情 / 传记 / 历史,中国大陆,2019年9月20日,1.1684亿
廉政风云 廉政風雲 煙幕,5.4,剧情 / 犯罪 / 悬疑,中国香港/中国大陆,2019年2月5日,1.1229亿
海市蜃楼 Durante la tormenta,7.6,科幻 / 悬疑 / 惊悚,西班牙,2019年3月28日,1.1058亿
一个母亲的复仇 Mom,6.8,剧情 / 犯罪,印度,2019年5月10日,1.1018亿
小Q,6.5,剧情,中国大陆/中国香港,2019年9月20日,1.0991亿
夏目友人帐 劇場版 夏目友人帳 ～うつせみに結ぶ～,8.0,剧情 / 动画 / 奇幻,日本,2019年3月7日,1.0914亿
雪人奇缘 Abominable,7.1,喜剧 / 动画 / 冒险,美国/中国大陆,2019年10月1日,1.0752亿
鼠胆英雄,5.2,喜剧,中国大陆,2019年8月2日,1.0088亿
波西米亚狂想曲 Bohemian Rhapsody,8.6,剧情 / 传记 / 同性 / 音乐,英国/美国,2019年3月22日,9827万
绝杀慕尼黑 Движение вверх,8.1,剧情 / 运动,俄罗斯,2019年6月13日,9120万
催眠·裁决 催眠裁決,5.7,犯罪 / 悬疑,中国香港/中国大陆,2019年10月25日,8547万
全职高手之巅峰荣耀,5.5,剧情 / 动画,中国大陆,2019年8月16日,8482万
巨鳄风暴 Crawl,5.7,剧情 / 惊悚 / 灾难,美国/塞尔维亚/加拿大,2019年9月12日,7412万
霹雳娇娃 Charlie&#39;s Angels,5.3,动作 / 冒险,美国,2019年11月15日,7403万
被光抓走的人,6.9,剧情 / 爱情 / 科幻,中国大陆,2019年12月13日,7086万
祈祷落幕时 祈りの幕が下りる時,7.9,剧情 / 悬疑,日本,2019年4月12日,6758万
天使陷落 Angel Has Fallen,6.0,动作 / 犯罪 / 惊悚,美国,2019年12月31日,6696万
风中有朵雨做的云,7.2,剧情 / 犯罪 / 悬疑,中国大陆,2019年4月4日,6449万
亲爱的新年好,5.5,剧情 / 爱情,中国大陆,2019年12月31日,6275万
人间·喜剧,3.3,喜剧,中国大陆,2019年3月29日,6256万
猪八戒·传说,2.2,喜剧 / 奇幻,中国大陆,2019年7月19日,6217万
特警队,5.0,动作,中国大陆,2019年12月27日,5709万
友情以上 ระวัง..สิ้นสุดทางเพื่อน,6.2,喜剧 / 爱情,泰国,2019年9月20日,5184万
碟仙,4.8,惊悚 / 恐怖,中国大陆,2019年6月21日,5131万
掠食城市 Mortal Engines,6.3,动作 / 科幻 / 冒险,美国/新西兰/日本,2019年1月18日,5020万
妈阁是座城,5.8,剧情,中国大陆,2019年6月14日,5012万
五月天人生无限公司 五月天人生無限公司,8.3,剧情 / 纪录片 / 音乐,中国台湾,2019年5月24日,4971万
吹哨人,5.3,剧情 / 犯罪 / 悬疑,中国大陆,2019年12月6日,4861万
